battle,country,result,source_url
Siege of Reval (1570–1571),Sweden,win,https://en.wikipedia.org/wiki/Siege_of_Reval_(1570–1571)
Pillage of Sigtuna,Sweden,unknown,https://en.wikipedia.org/wiki/Pillage_of_Sigtuna
Battle of Siikajoki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Siikajoki
Battle of Skellefteå,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Skellefteå
Skirmish at Neuhof,Sweden,win,https://en.wikipedia.org/wiki/Skirmish_at_Neuhof
Skirmish at Peltokorpi,Sweden,win,https://en.wikipedia.org/wiki/Skirmish_at_Peltokorpi
Skirmish at Sövde,Sweden,win,https://en.wikipedia.org/wiki/Skirmish_at_Sövde
Battle of Sobota,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Sobota
Battle of Sokolki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Sokolki
Battle of Sparrsätra,Sweden,unknown,https://en.wikipedia.org/wiki/Battle_of_Sparrsätra
Battle of Stäket,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Stäket
Battle of Stångebro,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Stångebro
Battle of Stegeborg,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Stegeborg
Conquest of Stockholm,Sweden,win,https://en.wikipedia.org/wiki/Conquest_of_Stockholm
Battle of Stresow,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Stresow
Battle of Strömstad,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Strömstad
Surrender of Saint Barthélemy (1801),Sweden,win,https://en.wikipedia.org/wiki/Surrender_of_Saint_Barthélemy_(1801)
Swedish invasion of Kexholm (1572),Sweden,win,https://en.wikipedia.org/wiki/Swedish_invasion_of_Kexholm_(1572)
Swedish–Geatish wars,Sweden,unknown,https://en.wikipedia.org/wiki/Swedish–Geatish_wars
Battle of Systerbäck,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Systerbäck
Battle of Skuodas (1658),Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Skuodas_(1658)
Battle of Tampere,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tampere
Tatar attack into Finland (1577),Sweden,other,https://en.wikipedia.org/wiki/Tatar_attack_into_Finland_(1577)
Battle of Tistedalen,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tistedalen
Battle of Tornow,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tornow
Battle of Toropets (1609),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Toropets_(1609)
Battle of Torzhok,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Torzhok
Battle of Toverud,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Toverud
Battle of Trangen,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Trangen
Battle of Treiden (1628),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Treiden_(1628)
Battle of Tryškiai,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tryškiai
Battle of Trzciana,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Trzciana
Battle of Tver,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tver
Battle of Tykocin,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tykocin
